,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,sqft_living15,sqft_lot15,price,year,month,house_soldtime
0,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,1340,5650,221900,2014,Oct,9
1,3,2.25,2570,7242,2.0,0,0,3,7,2170,400,1690,7639,538000,2014,Dec,9
2,2,1.0,770,10000,1.0,0,0,3,6,770,0,2720,8062,180000,2015,Feb,8
3,4,3.0,1960,5000,1.0,0,0,5,7,1050,910,1360,5000,604000,2014,Dec,9
4,3,2.0,1680,8080,1.0,0,0,3,8,1680,0,1800,7503,510000,2015,Feb,8
5,4,4.5,5420,101930,1.0,0,0,3,11,3890,1530,4760,101930,1230000,2014,May,9
6,3,2.25,1715,6819,2.0,0,0,3,7,1715,0,2238,6819,257500,2014,Jun,9
7,3,1.5,1060,9711,1.0,0,0,3,7,1060,0,1650,9711,291850,2015,Jan,8
8,3,1.0,1780,7470,1.0,0,0,3,7,1050,730,1780,8113,229500,2015,Apr,8
9,3,2.5,1890,6560,2.0,0,0,3,7,1890,0,2390,7570,323000,2015,Mar,8
10,3,2.5,3560,9796,1.0,0,0,3,8,1860,1700,2210,8925,662500,2015,Apr,8
11,2,1.0,1160,6000,1.0,0,0,4,7,860,300,1330,6000,468000,2014,May,9
12,3,1.0,1430,19901,1.5,0,0,4,7,1430,0,1780,12697,310000,2014,May,9
13,3,1.75,1370,9680,1.0,0,0,4,7,1370,0,1370,10208,400000,2014,Oct,9
14,5,2.0,1810,4850,1.5,0,0,3,7,1810,0,1360,4850,530000,2015,Mar,8
15,4,3.0,2950,5000,2.0,0,3,3,9,1980,970,2140,4000,650000,2015,Jan,8
16,3,2.0,1890,14040,2.0,0,0,3,7,1890,0,1890,14018,395000,2014,Jul,9
17,4,1.0,1600,4300,1.5,0,0,4,7,1600,0,1610,4300,485000,2014,May,9
18,2,1.0,1200,9850,1.0,0,0,4,7,1200,0,1060,5095,189000,2014,Dec,9
19,3,1.0,1250,9774,1.0,0,0,4,7,1250,0,1280,8850,230000,2015,Apr,8
20,4,1.75,1620,4980,1.0,0,0,4,7,860,760,1400,4980,385000,2014,May,9
21,3,2.75,3050,44867,1.0,0,4,3,9,2330,720,4110,20336,2000000,2014,Aug,9
22,5,2.5,2270,6300,2.0,0,0,3,8,2270,0,2240,7005,285000,2014,Jul,9
23,2,1.5,1070,9643,1.0,0,0,3,7,1070,0,1220,8386,252700,2014,May,9
24,3,2.25,2450,6500,2.0,0,0,4,8,2450,0,2200,6865,329000,2014,Nov,9
25,3,2.0,1710,4697,1.5,0,0,5,6,1710,0,1030,4705,233000,2014,Nov,9
26,3,1.75,2450,2691,2.0,0,0,3,8,1750,700,1760,3573,937000,2014,Jun,9
27,3,1.0,1400,1581,1.5,0,0,5,8,1400,0,1860,3861,667000,2014,Dec,9
28,3,1.75,1520,6380,1.0,0,0,3,7,790,730,1520,6235,438000,2014,Jun,9
29,4,2.5,2570,7173,2.0,0,0,3,8,2570,0,2630,6026,719000,2015,Mar,8
30,3,2.5,2320,3980,2.0,0,0,3,8,2320,0,2580,3980,580500,2014,Nov,9
31,2,1.5,1190,1265,3.0,0,0,3,7,1190,0,1390,1756,280000,2014,Dec,9
32,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1460,5000,687500,2014,Jun,9
33,3,1.0,1090,3000,1.5,0,0,4,8,1090,0,1570,5080,535000,2014,Nov,9
34,4,2.75,2060,6659,1.0,0,0,3,7,1280,780,2020,8720,322500,2014,Dec,9
35,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1590,3264,696000,2014,Jun,9
36,4,1.0,1660,34848,1.0,0,0,1,5,930,730,2160,11467,550000,2014,May,9
