,lat,long,zipcode
0,47.5112,-122.257,98178
1,47.721,-122.319,98125
2,47.7379,-122.233,98028
3,47.5208,-122.393,98136
4,47.6168,-122.045,98074
5,47.6561,-122.005,98053
6,47.3097,-122.327,98003
7,47.4095,-122.315,98198
8,47.5123,-122.337,98146
9,47.3684,-122.031,98038
10,47.6007,-122.145,98007
11,47.69,-122.292,98115
12,47.7558,-122.229,98028
13,47.6127,-122.045,98074
14,47.67,-122.394,98107
15,47.5714,-122.375,98126
16,47.7277,-121.962,98019
17,47.6648,-122.343,98103
18,47.3089,-122.21,98002
19,47.3343,-122.306,98003
20,47.7025,-122.341,98133
21,47.5316,-122.233,98040
22,47.3266,-122.169,98092
23,47.3533,-122.166,98030
24,47.3739,-122.172,98030
25,47.3048,-122.218,98002
26,47.6386,-122.36,98119
27,47.6221,-122.314,98112
28,47.695,-122.304,98115
29,47.7073,-122.11,98052
30,47.5391,-122.07,98027
31,47.7274,-122.357,98133
32,47.6823,-122.368,98117
33,47.6889,-122.375,98117
34,47.4276,-122.157,98058
35,47.6827,-122.31,98115
36,47.6621,-122.132,98052
37,47.6702,-122.362,98107
38,47.3341,-122.282,98001
39,47.5301,-122.18,98056
40,47.6145,-122.027,98074
41,47.445,-122.347,98166
42,47.6848,-122.016,98053
43,47.6413,-122.364,98119
44,47.4485,-122.175,98058
45,47.7443,-121.977,98019
46,47.3066,-122.371,98023
47,47.6194,-122.151,98007
48,47.6796,-122.301,98115
49,47.4041,-122.451,98070
50,47.4258,-122.322,98148
51,47.4934,-122.189,98056
52,47.6808,-122.384,98117
53,47.6989,-122.369,98117
54,47.6571,-122.281,98105
55,47.6597,-122.29,98105
56,47.3663,-122.114,98042
57,47.3663,-122.122,98042
58,47.588,-122.116,98008
59,47.5059,-122.149,98059
60,47.4336,-122.339,98166
61,47.4366,-122.335,98148
62,47.4428,-122.344,98166
63,47.6765,-122.32,98115
64,47.6113,-122.297,98122
65,47.5747,-122.304,98144
66,47.5815,-122.192,98004
67,47.3378,-122.257,98001
68,47.3621,-122.11,98042
69,47.6303,-122.215,98004
70,47.6525,-122.16,98005
71,47.7362,-122.179,98034
72,47.7168,-122.287,98125
73,47.3608,-122.036,98038
74,47.3511,-122.073,98042
75,47.5822,-121.987,98075
76,47.6034,-122.125,98008
77,47.5636,-122.394,98116
78,47.7073,-122.34,98133
79,47.342,-122.025,98010
80,47.3512,-122.008,98038
81,47.349,-122.031,98038
82,47.5474,-122.291,98118
83,47.4811,-122.149,98059
84,47.7264,-122.31,98125
85,47.6337,-122.365,98119
86,47.2909,-122.189,98092
87,47.5228,-122.199,98056
88,47.518,-122.194,98056
89,47.5394,-122.387,98136
90,47.2897,-122.372,98023
91,47.6506,-122.391,98199
92,47.322,-122.351,98023
93,47.687,-122.386,98117
94,47.687,-122.386,98117
95,47.5873,-122.249,98040
96,47.3576,-122.277,98032
97,47.3036,-122.378,98023
98,47.4109,-121.958,98038
99,47.4838,-121.714,98045
100,47.6415,-122.315,98102
101,47.6775,-122.372,98117
102,47.7731,-122.08,98077
103,47.5814,-122.196,98004
104,47.4375,-122.184,98058
105,47.4431,-122.133,98058
106,47.6878,-122.38,98117
107,47.3813,-122.322,98198
108,47.7304,-122.082,98077
109,47.6417,-122.109,98052
110,47.5386,-122.053,98027
111,47.6823,-122.349,98103
112,47.3624,-122.031,98038
113,47.5474,-122.295,98108
114,47.3183,-122.253,98001
115,47.6981,-122.368,98117
116,47.6824,-122.347,98103
117,47.5009,-122.248,98178
118,47.4965,-122.303,98168
119,47.587,-122.294,98144
120,47.7728,-122.386,98177
121,47.7288,-122.226,98034
122,47.6999,-122.364,98117
123,47.5299,-122.266,98118
124,47.6897,-122.098,98052
125,47.6141,-122.212,98004
126,47.5091,-122.244,98178
127,47.3129,-122.39,98023
128,47.6763,-122.352,98103
129,47.5319,-121.85,98065
130,47.2761,-122.152,98092
131,47.5343,-122.054,98027
132,47.697,-122.072,98052
133,47.5517,-121.998,98029
134,47.6734,-122.38,98107
135,47.3257,-122.296,98003
136,47.3309,-122.299,98003
137,47.7689,-122.266,98028
138,47.7135,-122.287,98125
139,47.6722,-122.381,98107
140,47.6338,-122.358,98119
141,47.5707,-122.128,98006
142,47.4563,-122.171,98058
143,47.7144,-122.351,98133
144,47.5495,-122.174,98006
145,47.7421,-122.026,98077
